Fund me ,Mean,standard deviation,sharpe,sortino,beta,Alpha,R square,Treynor ratio,Expense Ratio,Min Investment Amt. ,SIP ( YES/NO),Lumpsum(Yes/No),V,AUM ( CR )
SBI Healthcare Opportunities Fund  ,-3.17,16.86,-0.57,-0.93,0.73,-0.96,0.77,-13.19,2.6,5000,yes,yes,R 131.5927,984
UTI Healthcare Fund - Regular Plan ,-0.9,15.97,-0.46,-0.67,0.73,1.35,0.86,-10.03,2.41,5000,yes,yes,R 95.3368,428
Mirae Asset Healthcare Fund - Regular Plan  ,0,0,0,0,0,0,0,0,2.77,5000,yes,yes,11.017,206
ICICI Prudential Pharma Healthcare And Diagnostics,0,0,0,0,0,0,0,0,2.42,5000,yes,yes,10.85,1199
Tata India Pharma & HealthCare Fund - Regular Plan,0,0,0,0,0,0,0,0,2.78,5000,yes,yes,9.7409,154
Franklin India Technology Fund    ,12.52,12.16,0.5,0.94,0.66,1.24,0.88,10.24,2.8,5000,yes,yes,165.1113,224
Tata Digital India Fund - Regular Plan    ,0,0,0,0,0,0,0,0,2.51,5000,yes,yes,15.5572,247
SBI Technology Opportunities Fund    ,12.69,14.61,0.43,0.84,0.78,0.54,9.24,0.85,3.26,5000,yes,yes,64.9343,112
ICICI Prudential Technology Fund    ,13.44,14.37,0.49,0.93,0.76,1.38,0.85,9.19,2.89,5000,yes,yes,60.57,422
Aditya Birla Sun Life Digital India Fund    ,16.89,16.55,0.63,1.08,0.86,4.12,0.81,13.07,2.93,1000,yes,yes,54.96,414
Reliance Power & Infra Fund    ,13.82,19.39,0.38,0.52,0.97,7.2,0.77,7.64,2.22,5000,yes,yes,102.8105,1647
Franklin Build India Fund    ,14.21,16.11,0.48,0.8,0.83,7.62,0.81,9.43,2.36,5000,yes,yes,41.5189,1206
DSP T.I.G.E.R. Fund - Regular Plan  ,11.7,18.33,0.29,0.46,0.93,5.08,0.79,5.68,2.31,1000,yes,yes,92.172,1366
Tata Infrastructure Fund - Regular Plan    ,11.54,17.32,0.3,0.47,0.88,4.93,0.8,5.79,2.22,5000,yes,yes,56.3745,584
